代码,简称,时间,周单位净值(元)
510050.OF,50ETF,2004-12-31,0.9960
510050.OF,50ETF,2005-01-07,0.9810
510050.OF,50ETF,2005-01-14,0.9830
510050.OF,50ETF,2005-01-21,0.9880
510050.OF,50ETF,2005-01-28,0.9760
510050.OF,50ETF,2005-02-04,0.8730
510050.OF,50ETF,2005-02-18,0.8560
510050.OF,50ETF,2005-02-25,0.8780
510050.OF,50ETF,2005-03-04,0.8590
510050.OF,50ETF,2005-03-11,0.8540
510050.OF,50ETF,2005-03-18,0.8210
510050.OF,50ETF,2005-03-25,0.8070
510050.OF,50ETF,2005-04-01,0.8230
510050.OF,50ETF,2005-04-08,0.8380
510050.OF,50ETF,2005-04-15,0.8170
510050.OF,50ETF,2005-04-22,0.7950
510050.OF,50ETF,2005-04-29,0.7920
161607.OF,融通巨潮,2005-05-13,1.0000
510050.OF,50ETF,2005-05-13,0.7590
161607.OF,融通巨潮,2005-05-20,0.9980
510050.OF,50ETF,2005-05-20,0.7550
161607.OF,融通巨潮,2005-05-27,0.9840
510050.OF,50ETF,2005-05-27,0.7290
161607.OF,融通巨潮,2005-06-03,0.9710
510050.OF,50ETF,2005-06-03,0.7060
161607.OF,融通巨潮,2005-06-10,1.0050
510050.OF,50ETF,2005-06-10,0.7730
161607.OF,融通巨潮,2005-06-17,0.9990
510050.OF,50ETF,2005-06-17,0.7710
161607.OF,融通巨潮,2005-06-24,1.0100
510050.OF,50ETF,2005-06-24,0.7840
161607.OF,融通巨潮,2005-07-01,0.9720
510050.OF,50ETF,2005-07-01,0.7620
161607.OF,融通巨潮,2005-07-08,0.9480
510050.OF,50ETF,2005-07-08,0.7420
161607.OF,融通巨潮,2005-07-15,0.9710
510050.OF,50ETF,2005-07-15,0.7640
161607.OF,融通巨潮,2005-07-22,0.9940
510050.OF,50ETF,2005-07-22,0.7850
161607.OF,融通巨潮,2005-07-29,1.0210
510050.OF,50ETF,2005-07-29,0.8050
161607.OF,融通巨潮,2005-08-05,1.0550
510050.OF,50ETF,2005-08-05,0.8290
161607.OF,融通巨潮,2005-08-12,1.0490
510050.OF,50ETF,2005-08-12,0.8390
161607.OF,融通巨潮,2005-08-19,1.0480
510050.OF,50ETF,2005-08-19,0.8330
161607.OF,融通巨潮,2005-08-26,1.0240
510050.OF,50ETF,2005-08-26,0.8390
160706.OF,嘉实300,2005-09-02,1.0070
161607.OF,融通巨潮,2005-09-02,1.0330
510050.OF,50ETF,2005-09-02,0.8460
160706.OF,嘉实300,2005-09-09,1.0070
161607.OF,融通巨潮,2005-09-09,1.0280
510050.OF,50ETF,2005-09-09,0.8400
160706.OF,嘉实300,2005-09-16,1.0230
161607.OF,融通巨潮,2005-09-16,1.0340
510050.OF,50ETF,2005-09-16,0.8470
160706.OF,嘉实300,2005-09-23,0.9710
161607.OF,融通巨潮,2005-09-23,0.9840
510050.OF,50ETF,2005-09-23,0.8090
160706.OF,嘉实300,2005-09-30,0.9710
161607.OF,融通巨潮,2005-09-30,0.9880
510050.OF,50ETF,2005-09-30,0.8090
160706.OF,嘉实300,2005-10-14,0.9590
161607.OF,融通巨潮,2005-10-14,0.9700
510050.OF,50ETF,2005-10-14,0.7930
160706.OF,嘉实300,2005-10-21,0.9580
161607.OF,融通巨潮,2005-10-21,0.9680
510050.OF,50ETF,2005-10-21,0.7900
160706.OF,嘉实300,2005-10-28,0.9180
161607.OF,融通巨潮,2005-10-28,0.9340
510050.OF,50ETF,2005-10-28,0.7630
160706.OF,嘉实300,2005-11-04,0.9270
161607.OF,融通巨潮,2005-11-04,0.9450
510050.OF,50ETF,2005-11-04,0.7720
160706.OF,嘉实300,2005-11-11,0.9130
161607.OF,融通巨潮,2005-11-11,0.9320
510050.OF,50ETF,2005-11-11,0.7600
160706.OF,嘉实300,2005-11-18,0.9300
161607.OF,融通巨潮,2005-11-18,0.9490
510050.OF,50ETF,2005-11-18,0.7740
160706.OF,嘉实300,2005-11-25,0.9330
161607.OF,融通巨潮,2005-11-25,0.9550
510050.OF,50ETF,2005-11-25,0.7830
160706.OF,嘉实300,2005-12-02,0.9200
161607.OF,融通巨潮,2005-12-02,0.9480
510050.OF,50ETF,2005-12-02,0.7730
160706.OF,嘉实300,2005-12-09,0.9400
161607.OF,融通巨潮,2005-12-09,0.9710
510050.OF,50ETF,2005-12-09,0.7940
160706.OF,嘉实300,2005-12-16,0.9550
161607.OF,融通巨潮,2005-12-16,0.9830
510050.OF,50ETF,2005-12-16,0.7990
160706.OF,嘉实300,2005-12-23,0.9690
161607.OF,融通巨潮,2005-12-23,0.9970
510050.OF,50ETF,2005-12-23,0.8090
160706.OF,嘉实300,2005-12-30,0.9810
161607.OF,融通巨潮,2005-12-30,1.0120
510050.OF,50ETF,2005-12-30,0.8140
160706.OF,嘉实300,2006-01-06,1.0280
161607.OF,融通巨潮,2006-01-06,1.0640
510050.OF,50ETF,2006-01-06,0.8550
160706.OF,嘉实300,2006-01-13,1.0360
161607.OF,融通巨潮,2006-01-13,1.0480
510050.OF,50ETF,2006-01-13,0.8490
160706.OF,嘉实300,2006-01-20,1.0500
161607.OF,融通巨潮,2006-01-20,1.0660
510050.OF,50ETF,2006-01-20,0.8580
160706.OF,嘉实300,2006-01-27,1.0670
161607.OF,融通巨潮,2006-01-27,1.0900
510050.OF,50ETF,2006-01-27,0.8650
160706.OF,嘉实300,2006-02-10,1.0870
161607.OF,融通巨潮,2006-02-10,1.0960
510050.OF,50ETF,2006-02-10,0.8770
160706.OF,嘉实300,2006-02-17,1.0780
161607.OF,融通巨潮,2006-02-17,1.0480
510050.OF,50ETF,2006-02-17,0.8750
160706.OF,嘉实300,2006-02-24,1.1050
161607.OF,融通巨潮,2006-02-24,1.0670
510050.OF,50ETF,2006-02-24,0.8990
160706.OF,嘉实300,2006-03-03,1.1110
161607.OF,融通巨潮,2006-03-03,1.0740
510050.OF,50ETF,2006-03-03,0.9040
160706.OF,嘉实300,2006-03-10,1.0100
161607.OF,融通巨潮,2006-03-10,1.0420
510050.OF,50ETF,2006-03-10,0.8790
160706.OF,嘉实300,2006-03-17,1.0240
161607.OF,融通巨潮,2006-03-17,1.0550
510050.OF,50ETF,2006-03-17,0.8850
159901.OF,深100ETF,2006-03-24,1.0000
160706.OF,嘉实300,2006-03-24,1.0410
161607.OF,融通巨潮,2006-03-24,1.0770
510050.OF,50ETF,2006-03-24,0.8910
160706.OF,嘉实300,2006-03-31,1.0600
161607.OF,融通巨潮,2006-03-31,1.1060
510050.OF,50ETF,2006-03-31,0.9000
160706.OF,嘉实300,2006-04-07,1.0990
161607.OF,融通巨潮,2006-04-07,1.0910
510050.OF,50ETF,2006-04-07,0.9180
160706.OF,嘉实300,2006-04-14,1.0840
161607.OF,融通巨潮,2006-04-14,1.1000
510050.OF,50ETF,2006-04-14,0.9320
510180.OF,180ETF,2006-04-14,1.0050
159901.OF,深100ETF,2006-04-21,1.1400
160706.OF,嘉实300,2006-04-21,1.1120
161607.OF,融通巨潮,2006-04-21,1.0810
510050.OF,50ETF,2006-04-21,0.9620
510180.OF,180ETF,2006-04-21,1.0090
159901.OF,深100ETF,2006-04-28,1.1580
160706.OF,嘉实300,2006-04-28,1.1360
161607.OF,融通巨潮,2006-04-28,1.1100
510050.OF,50ETF,2006-04-28,0.9890
510180.OF,180ETF,2006-04-28,1.0210
159901.OF,深100ETF,2006-05-12,1.2670
160706.OF,嘉实300,2006-05-12,1.2520
161607.OF,融通巨潮,2006-05-12,1.2160
510050.OF,50ETF,2006-05-12,1.0750
510180.OF,180ETF,2006-05-12,2.9900
159901.OF,深100ETF,2006-05-19,1.3550
160706.OF,嘉实300,2006-05-19,1.3180
161607.OF,融通巨潮,2006-05-19,1.2170
510050.OF,50ETF,2006-05-19,1.1030
510180.OF,180ETF,2006-05-19,3.1190
159901.OF,深100ETF,2006-05-26,1.3230
160706.OF,嘉实300,2006-05-26,1.2940
161607.OF,融通巨潮,2006-05-26,1.1860
510050.OF,50ETF,2006-05-26,1.0840
510180.OF,180ETF,2006-05-26,3.0460
159901.OF,深100ETF,2006-06-02,1.3620
160706.OF,嘉实300,2006-06-02,1.3520
161607.OF,融通巨潮,2006-06-02,1.1170
510050.OF,50ETF,2006-06-02,1.1200
510180.OF,180ETF,2006-06-02,3.1850
159901.OF,深100ETF,2006-06-09,1.2790
159902.OF,中小100,2006-06-09,1.0000
160706.OF,嘉实300,2006-06-09,1.2660
161607.OF,融通巨潮,2006-06-09,1.0360
510050.OF,50ETF,2006-06-09,1.0590
510180.OF,180ETF,2006-06-09,2.9770
159901.OF,深100ETF,2006-06-16,1.3020
159902.OF,中小100,2006-06-16,1.0060
160706.OF,嘉实300,2006-06-16,1.1350
161607.OF,融通巨潮,2006-06-16,1.0570
510050.OF,50ETF,2006-06-16,1.0760
510180.OF,180ETF,2006-06-16,3.0310
159901.OF,深100ETF,2006-06-23,1.3270
159902.OF,中小100,2006-06-23,1.0060
160706.OF,嘉实300,2006-06-23,1.1540
161607.OF,融通巨潮,2006-06-23,1.0700
510050.OF,50ETF,2006-06-23,1.0920
510180.OF,180ETF,2006-06-23,3.0780
159901.OF,深100ETF,2006-06-30,1.3890
159902.OF,中小100,2006-06-30,1.0090
160706.OF,嘉实300,2006-06-30,1.2000
161607.OF,融通巨潮,2006-06-30,1.1120
510050.OF,50ETF,2006-06-30,1.1340
510180.OF,180ETF,2006-06-30,3.1990
159901.OF,深100ETF,2006-07-07,1.4080
159902.OF,中小100,2006-07-07,1.0170
160706.OF,嘉实300,2006-07-07,1.2140
161607.OF,融通巨潮,2006-07-07,1.0640
510050.OF,50ETF,2006-07-07,1.1300
510180.OF,180ETF,2006-07-07,3.2260
159901.OF,深100ETF,2006-07-14,1.3650
159902.OF,中小100,2006-07-14,1.0070
160706.OF,嘉实300,2006-07-14,1.1720
161607.OF,融通巨潮,2006-07-14,1.0230
510050.OF,50ETF,2006-07-14,1.0920
510180.OF,180ETF,2006-07-14,3.1090
159901.OF,深100ETF,2006-07-21,1.3590
159902.OF,中小100,2006-07-21,1.0080
160706.OF,嘉实300,2006-07-21,1.1720
161607.OF,融通巨潮,2006-07-21,1.0200
510050.OF,50ETF,2006-07-21,1.0890
510180.OF,180ETF,2006-07-21,3.0980
159901.OF,深100ETF,2006-07-28,1.3340
159902.OF,中小100,2006-07-28,0.9920
160706.OF,嘉实300,2006-07-28,1.1600
161607.OF,融通巨潮,2006-07-28,1.0070
510050.OF,50ETF,2006-07-28,1.0830
510180.OF,180ETF,2006-07-28,3.0810
159901.OF,深100ETF,2006-08-04,1.2240
159902.OF,中小100,2006-08-04,0.9500
160706.OF,嘉实300,2006-08-04,1.0780
161607.OF,融通巨潮,2006-08-04,0.9480
510050.OF,50ETF,2006-08-04,1.0230
510180.OF,180ETF,2006-08-04,2.8700
159901.OF,深100ETF,2006-08-11,1.2590
159902.OF,中小100,2006-08-11,0.9620
160706.OF,嘉实300,2006-08-11,1.1060
161607.OF,融通巨潮,2006-08-11,0.9690
510050.OF,50ETF,2006-08-11,1.0440
510180.OF,180ETF,2006-08-11,2.9450
159901.OF,深100ETF,2006-08-18,1.2540
159902.OF,中小100,2006-08-18,0.9530
160706.OF,嘉实300,2006-08-18,1.1010
161607.OF,融通巨潮,2006-08-18,0.9660
510050.OF,50ETF,2006-08-18,1.0420
510180.OF,180ETF,2006-08-18,2.9280
159901.OF,深100ETF,2006-08-25,1.2820
159902.OF,中小100,2006-08-25,0.9730
160706.OF,嘉实300,2006-08-25,1.1240
161607.OF,融通巨潮,2006-08-25,0.9850
510050.OF,50ETF,2006-08-25,1.0610
510180.OF,180ETF,2006-08-25,2.9940
159901.OF,深100ETF,2006-09-01,1.3190
159902.OF,中小100,2006-09-01,0.9870
160706.OF,嘉实300,2006-09-01,1.1420
161607.OF,融通巨潮,2006-09-01,0.9980
510050.OF,50ETF,2006-09-01,1.0650
510180.OF,180ETF,2006-09-01,3.0250
159901.OF,深100ETF,2006-09-08,1.3190
159902.OF,中小100,2006-09-08,0.9900
160706.OF,嘉实300,2006-09-08,1.1540
161607.OF,融通巨潮,2006-09-08,1.0100
510050.OF,50ETF,2006-09-08,1.0840
510180.OF,180ETF,2006-09-08,3.0750
159901.OF,深100ETF,2006-09-15,1.3390
159902.OF,中小100,2006-09-15,0.9900
160706.OF,嘉实300,2006-09-15,1.1790
161607.OF,融通巨潮,2006-09-15,1.0380
510050.OF,50ETF,2006-09-15,1.1290
510180.OF,180ETF,2006-09-15,3.1580
159901.OF,深100ETF,2006-09-22,1.3610
159902.OF,中小100,2006-09-22,1.0140
160706.OF,嘉实300,2006-09-22,1.1910
161607.OF,融通巨潮,2006-09-22,1.0470
510050.OF,50ETF,2006-09-22,1.1300
510180.OF,180ETF,2006-09-22,3.1790
159901.OF,深100ETF,2006-09-29,1.3880
159902.OF,中小100,2006-09-29,1.0250
160706.OF,嘉实300,2006-09-29,1.2150
161607.OF,融通巨潮,2006-09-29,1.0680
510050.OF,50ETF,2006-09-29,1.1500
510180.OF,180ETF,2006-09-29,3.2430
159902.OF,中小100,2006-10-06,1.0250
160706.OF,嘉实300,2006-10-06,1.2150
161607.OF,融通巨潮,2006-10-06,1.0680
510050.OF,50ETF,2006-10-06,1.1500
510180.OF,180ETF,2006-10-06,3.2430
159901.OF,深100ETF,2006-10-13,1.4060
159902.OF,中小100,2006-10-13,1.0280
160706.OF,嘉实300,2006-10-13,1.2380
161607.OF,融通巨潮,2006-10-13,1.0920
510050.OF,50ETF,2006-10-13,1.1850
510180.OF,180ETF,2006-10-13,3.3140
159901.OF,深100ETF,2006-10-20,1.4230
159902.OF,中小100,2006-10-20,1.0230
160706.OF,嘉实300,2006-10-20,1.2460
161607.OF,融通巨潮,2006-10-20,1.0340
510050.OF,50ETF,2006-10-20,1.1870
510180.OF,180ETF,2006-10-20,3.3290
159901.OF,深100ETF,2006-10-27,1.4270
159902.OF,中小100,2006-10-27,1.0000
160706.OF,嘉实300,2006-10-27,1.2450
161607.OF,融通巨潮,2006-10-27,1.0370
510050.OF,50ETF,2006-10-27,1.2010
510180.OF,180ETF,2006-10-27,3.3380
159901.OF,深100ETF,2006-11-03,1.4630
159902.OF,中小100,2006-11-03,0.9880
160706.OF,嘉实300,2006-11-03,1.2840
161607.OF,融通巨潮,2006-11-03,1.0710
510050.OF,50ETF,2006-11-03,1.2580
510180.OF,180ETF,2006-11-03,3.4760
159901.OF,深100ETF,2006-11-10,1.4670
159902.OF,中小100,2006-11-10,0.9740
160706.OF,嘉实300,2006-11-10,1.2990
161607.OF,融通巨潮,2006-11-10,1.1030
510050.OF,50ETF,2006-11-10,1.3030
510180.OF,180ETF,2006-11-10,3.5600
159901.OF,深100ETF,2006-11-17,1.5270
159902.OF,中小100,2006-11-17,0.9920
160706.OF,嘉实300,2006-11-17,1.3370
161607.OF,融通巨潮,2006-11-17,1.0980
510050.OF,50ETF,2006-11-17,1.3200
510180.OF,180ETF,2006-11-17,3.6870
510880.OF,红利ETF,2006-11-17,1.0000
159901.OF,深100ETF,2006-11-24,1.5980
159902.OF,中小100,2006-11-24,1.0170
160706.OF,嘉实300,2006-11-24,1.4080
161607.OF,融通巨潮,2006-11-24,1.1450
510050.OF,50ETF,2006-11-24,1.3810
510180.OF,180ETF,2006-11-24,3.8240
510880.OF,红利ETF,2006-11-24,1.0040
159901.OF,深100ETF,2006-12-01,1.7290
159902.OF,中小100,2006-12-01,1.0720
160706.OF,嘉实300,2006-12-01,1.4840
161607.OF,融通巨潮,2006-12-01,1.1890
510050.OF,50ETF,2006-12-01,1.4250
510180.OF,180ETF,2006-12-01,4.0030
510880.OF,红利ETF,2006-12-01,1.0160
159901.OF,深100ETF,2006-12-08,1.6900
159902.OF,中小100,2006-12-08,1.0420
160706.OF,嘉实300,2006-12-08,1.4680
161607.OF,融通巨潮,2006-12-08,1.1920
510050.OF,50ETF,2006-12-08,1.4420
510180.OF,180ETF,2006-12-08,3.9770
510880.OF,红利ETF,2006-12-08,1.0570
159901.OF,深100ETF,2006-12-15,1.8430
159902.OF,中小100,2006-12-15,1.1250
160706.OF,嘉实300,2006-12-15,1.5960
161607.OF,融通巨潮,2006-12-15,1.1760
510050.OF,50ETF,2006-12-15,1.5710
510180.OF,180ETF,2006-12-15,4.3470
510880.OF,红利ETF,2006-12-15,1.0990
159901.OF,深100ETF,2006-12-22,1.8620
159902.OF,中小100,2006-12-22,1.1570
160706.OF,嘉实300,2006-12-22,1.6200
161607.OF,融通巨潮,2006-12-22,1.1820
510050.OF,50ETF,2006-12-22,1.5880
510180.OF,180ETF,2006-12-22,4.4090
510880.OF,红利ETF,2006-12-22,1.1350
159901.OF,深100ETF,2006-12-29,1.9540
159902.OF,中小100,2006-12-29,1.1940
160706.OF,嘉实300,2006-12-29,1.7320
161607.OF,融通巨潮,2006-12-29,1.2990
510050.OF,50ETF,2006-12-29,1.7640
510180.OF,180ETF,2006-12-29,4.8160
510880.OF,红利ETF,2006-12-29,1.1930
159901.OF,深100ETF,2007-01-05,1.9830
159902.OF,中小100,2007-01-05,1.2210
160706.OF,嘉实300,2007-01-05,1.7570
161607.OF,融通巨潮,2007-01-05,1.3140
510050.OF,50ETF,2007-01-05,1.7850
510180.OF,180ETF,2007-01-05,4.8820
510880.OF,红利ETF,2007-01-05,1.2450
159901.OF,深100ETF,2007-01-12,2.1150
159902.OF,中小100,2007-01-12,1.2560
160706.OF,嘉实300,2007-01-12,1.8390
161607.OF,融通巨潮,2007-01-12,1.3640
510050.OF,50ETF,2007-01-12,1.8360
510180.OF,180ETF,2007-01-12,5.0490
510880.OF,红利ETF,2007-01-12,1.9230
159901.OF,深100ETF,2007-01-19,2.3760
159902.OF,中小100,2007-01-19,1.4940
160706.OF,嘉实300,2007-01-19,2.0140
161607.OF,融通巨潮,2007-01-19,1.4680
510050.OF,50ETF,2007-01-19,1.9600
510180.OF,180ETF,2007-01-19,5.4700
510880.OF,红利ETF,2007-01-19,2.0450
159901.OF,深100ETF,2007-01-26,2.4290
159902.OF,中小100,2007-01-26,1.5000
160706.OF,嘉实300,2007-01-26,2.1080
161607.OF,融通巨潮,2007-01-26,1.3070
510050.OF,50ETF,2007-01-26,2.1340
510180.OF,180ETF,2007-01-26,5.8440
510880.OF,红利ETF,2007-01-26,2.1850
159901.OF,深100ETF,2007-02-02,2.2070
159902.OF,中小100,2007-02-02,1.4790
160706.OF,嘉实300,2007-02-02,1.0060
161607.OF,融通巨潮,2007-02-02,1.1820
510050.OF,50ETF,2007-02-02,1.9390
510180.OF,180ETF,2007-02-02,5.3310
510880.OF,红利ETF,2007-02-02,2.0010
159901.OF,深100ETF,2007-02-09,2.3150
159902.OF,中小100,2007-02-09,1.4980
160706.OF,嘉实300,2007-02-09,1.0480
161607.OF,融通巨潮,2007-02-09,1.2230
510050.OF,50ETF,2007-02-09,1.9840
510180.OF,180ETF,2007-02-09,5.5190
510880.OF,红利ETF,2007-02-09,2.0370
159901.OF,深100ETF,2007-02-16,2.5960
159902.OF,中小100,2007-02-16,1.6300
160706.OF,嘉实300,2007-02-16,1.1510
161607.OF,融通巨潮,2007-02-16,1.3560
510050.OF,50ETF,2007-02-16,2.2090
510180.OF,180ETF,2007-02-16,6.1460
510880.OF,红利ETF,2007-02-16,2.3260
159901.OF,深100ETF,2007-03-02,2.4210
159902.OF,中小100,2007-03-02,1.5250
160706.OF,嘉实300,2007-03-02,1.0130
161607.OF,融通巨潮,2007-03-02,1.2130
510050.OF,50ETF,2007-03-02,2.0480
510180.OF,180ETF,2007-03-02,5.7410
510880.OF,红利ETF,2007-03-02,2.2770
159901.OF,深100ETF,2007-03-09,2.5110
159902.OF,中小100,2007-03-09,1.6110
160706.OF,嘉实300,2007-03-09,1.0490
161607.OF,融通巨潮,2007-03-09,1.2540
510050.OF,50ETF,2007-03-09,2.1140
510180.OF,180ETF,2007-03-09,5.9820
510880.OF,红利ETF,2007-03-09,2.3230
159901.OF,深100ETF,2007-03-16,2.5240
159902.OF,中小100,2007-03-16,1.6450
160706.OF,嘉实300,2007-03-16,1.0450
161607.OF,融通巨潮,2007-03-16,1.2400
510050.OF,50ETF,2007-03-16,2.0800
510180.OF,180ETF,2007-03-16,5.9000
510880.OF,红利ETF,2007-03-16,2.2780
159901.OF,深100ETF,2007-03-23,2.6350
159902.OF,中小100,2007-03-23,1.7290
160706.OF,嘉实300,2007-03-23,1.0880
161607.OF,融通巨潮,2007-03-23,1.2960
510050.OF,50ETF,2007-03-23,2.1740
510180.OF,180ETF,2007-03-23,6.1470
510880.OF,红利ETF,2007-03-23,2.4000
159901.OF,深100ETF,2007-03-30,2.6530
159902.OF,中小100,2007-03-30,1.7400
160706.OF,嘉实300,2007-03-30,1.1130
161607.OF,融通巨潮,2007-03-30,1.2400
510050.OF,50ETF,2007-03-30,2.2580
510180.OF,180ETF,2007-03-30,6.3400
510880.OF,红利ETF,2007-03-30,2.4810
159901.OF,深100ETF,2007-04-06,2.8800
159902.OF,中小100,2007-04-06,1.8450
160706.OF,嘉实300,2007-04-06,1.1840
161607.OF,融通巨潮,2007-04-06,1.3090
510050.OF,50ETF,2007-04-06,2.3500
510180.OF,180ETF,2007-04-06,6.6980
510880.OF,红利ETF,2007-04-06,2.6470
159901.OF,深100ETF,2007-04-13,3.1180
159902.OF,中小100,2007-04-13,1.9610
160706.OF,嘉实300,2007-04-13,1.2570
161607.OF,融通巨潮,2007-04-13,1.3840
510050.OF,50ETF,2007-04-13,2.4740
510180.OF,180ETF,2007-04-13,7.0890
510880.OF,红利ETF,2007-04-13,2.8330
159901.OF,深100ETF,2007-04-20,3.2460
159902.OF,中小100,2007-04-20,2.0260
160706.OF,嘉实300,2007-04-20,1.2990
161607.OF,融通巨潮,2007-04-20,1.4070
510050.OF,50ETF,2007-04-20,2.5040
510180.OF,180ETF,2007-04-20,7.2710
510880.OF,红利ETF,2007-04-20,2.9330
159901.OF,深100ETF,2007-04-27,3.3820
159902.OF,中小100,2007-04-27,2.0250
160706.OF,嘉实300,2007-04-27,1.3660
161607.OF,融通巨潮,2007-04-27,1.4640
510050.OF,50ETF,2007-04-27,2.6300
510180.OF,180ETF,2007-04-27,7.6640
510880.OF,红利ETF,2007-04-27,3.1830
159901.OF,深100ETF,2007-05-04,3.4440
159902.OF,中小100,2007-05-04,2.0530
160706.OF,嘉实300,2007-05-04,1.3910
161607.OF,融通巨潮,2007-05-04,1.4920
510050.OF,50ETF,2007-05-04,2.6770
510180.OF,180ETF,2007-05-04,7.8490
510880.OF,红利ETF,2007-05-04,3.2290
159901.OF,深100ETF,2007-05-11,3.6250
159902.OF,中小100,2007-05-11,2.0630
160706.OF,嘉实300,2007-05-11,1.4450
161607.OF,融通巨潮,2007-05-11,1.4760
510050.OF,50ETF,2007-05-11,2.8010
510180.OF,180ETF,2007-05-11,8.1190
510880.OF,红利ETF,2007-05-11,3.4230
159901.OF,深100ETF,2007-05-18,3.7740
159902.OF,中小100,2007-05-18,2.1820
160706.OF,嘉实300,2007-05-18,1.4720
161607.OF,融通巨潮,2007-05-18,1.4960
510050.OF,50ETF,2007-05-18,2.7880
510180.OF,180ETF,2007-05-18,8.1820
510880.OF,红利ETF,2007-05-18,3.4540
159901.OF,深100ETF,2007-05-25,4.0110
159902.OF,中小100,2007-05-25,2.3040
160706.OF,嘉实300,2007-05-25,1.5500
161607.OF,融通巨潮,2007-05-25,1.5530
510050.OF,50ETF,2007-05-25,2.8680
510180.OF,180ETF,2007-05-25,8.5330
510880.OF,红利ETF,2007-05-25,3.6030
159901.OF,深100ETF,2007-06-01,3.8870
159902.OF,中小100,2007-06-01,2.1560
160706.OF,嘉实300,2007-06-01,1.4800
161607.OF,融通巨潮,2007-06-01,1.4300
510050.OF,50ETF,2007-06-01,2.8470
510180.OF,180ETF,2007-06-01,8.2890
510880.OF,红利ETF,2007-06-01,3.3790
159901.OF,深100ETF,2007-06-08,4.0120
159902.OF,中小100,2007-06-08,2.2130
160706.OF,嘉实300,2007-06-08,1.4920
161607.OF,融通巨潮,2007-06-08,1.4530
510050.OF,50ETF,2007-06-08,2.7960
510180.OF,180ETF,2007-06-08,8.2930
510880.OF,红利ETF,2007-06-08,3.3480
159901.OF,深100ETF,2007-06-15,4.2930
159902.OF,中小100,2007-06-15,2.4230
160706.OF,嘉实300,2007-06-15,1.5900
161607.OF,融通巨潮,2007-06-15,1.5450
510050.OF,50ETF,2007-06-15,2.9760
510180.OF,180ETF,2007-06-15,8.8390
510880.OF,红利ETF,2007-06-15,3.5390
159901.OF,深100ETF,2007-06-22,4.2610
159902.OF,中小100,2007-06-22,2.2850
160706.OF,嘉实300,2007-06-22,1.5760
161607.OF,融通巨潮,2007-06-22,1.5450
510050.OF,50ETF,2007-06-22,2.9960
510180.OF,180ETF,2007-06-22,8.8160
510880.OF,红利ETF,2007-06-22,3.4910
159901.OF,深100ETF,2007-06-29,4.0360
159902.OF,中小100,2007-06-29,2.1070
160706.OF,嘉实300,2007-06-29,1.4680
161607.OF,融通巨潮,2007-06-29,1.3670
510050.OF,50ETF,2007-06-29,2.8940
510180.OF,180ETF,2007-06-29,8.3190
510880.OF,红利ETF,2007-06-29,3.1750
159901.OF,深100ETF,2007-07-06,3.9840
159902.OF,中小100,2007-07-06,2.1260
160706.OF,嘉实300,2007-07-06,1.4490
161607.OF,融通巨潮,2007-07-06,1.3490
510050.OF,50ETF,2007-07-06,2.8440
510180.OF,180ETF,2007-07-06,8.1920
510880.OF,红利ETF,2007-07-06,3.1480
159901.OF,深100ETF,2007-07-13,3.9800
159902.OF,中小100,2007-07-13,2.1530
160706.OF,嘉实300,2007-07-13,1.4910
161607.OF,融通巨潮,2007-07-13,1.3900
510050.OF,50ETF,2007-07-13,2.9520
510180.OF,180ETF,2007-07-13,8.4570
510880.OF,红利ETF,2007-07-13,3.2160
159901.OF,深100ETF,2007-07-20,4.1320
159902.OF,中小100,2007-07-20,2.2730
160706.OF,嘉实300,2007-07-20,1.5490
161607.OF,融通巨潮,2007-07-20,1.4460
510050.OF,50ETF,2007-07-20,3.0780
510180.OF,180ETF,2007-07-20,8.8080
510880.OF,红利ETF,2007-07-20,3.2840
159901.OF,深100ETF,2007-07-27,4.5260
159902.OF,中小100,2007-07-27,2.4100
160706.OF,嘉实300,2007-07-27,1.6740
161607.OF,融通巨潮,2007-07-27,1.5450
510050.OF,50ETF,2007-07-27,3.2580
510180.OF,180ETF,2007-07-27,9.4640
510880.OF,红利ETF,2007-07-27,3.6680
159901.OF,深100ETF,2007-08-03,4.9110
159902.OF,中小100,2007-08-03,2.5340
160706.OF,嘉实300,2007-08-03,1.7800
161607.OF,融通巨潮,2007-08-03,1.5580
510050.OF,50ETF,2007-08-03,3.4780
510180.OF,180ETF,2007-08-03,10.0500
510880.OF,红利ETF,2007-08-03,3.8540
159901.OF,深100ETF,2007-08-10,4.9320
159902.OF,中小100,2007-08-10,2.4960
160706.OF,嘉实300,2007-08-10,1.6250
161607.OF,融通巨潮,2007-08-10,1.6110
510050.OF,50ETF,2007-08-10,3.6450
510180.OF,180ETF,2007-08-10,10.4630
510880.OF,红利ETF,2007-08-10,3.9780
159901.OF,深100ETF,2007-08-17,4.7870
159902.OF,中小100,2007-08-17,2.5060
160706.OF,嘉实300,2007-08-17,1.5680
161607.OF,融通巨潮,2007-08-17,1.5660
510050.OF,50ETF,2007-08-17,3.5410
510180.OF,180ETF,2007-08-17,10.2390
510880.OF,红利ETF,2007-08-17,3.9210
159901.OF,深100ETF,2007-08-24,5.3930
159902.OF,中小100,2007-08-24,2.7410
160706.OF,嘉实300,2007-08-24,1.3010
161607.OF,融通巨潮,2007-08-24,1.7620
510050.OF,50ETF,2007-08-24,4.0080
510180.OF,180ETF,2007-08-24,11.5610
510880.OF,红利ETF,2007-08-24,4.4090
